timestamp, pci.bus, utilization.gpu [%], power.draw [W], clocks.current.graphics [MHz]
2024/03/08 05:48:08.957, 0xC7, 0 %, 60.50 W, 210 MHz
2024/03/08 05:48:09.963, 0xC7, 3 %, 66.05 W, 1095 MHz
2024/03/08 05:48:10.970, 0xC7, 0 %, 65.77 W, 1095 MHz
2024/03/08 05:48:11.975, 0xC7, 92 %, 304.95 W, 1410 MHz
2024/03/08 05:48:12.980, 0xC7, 97 %, 255.88 W, 1410 MHz
2024/03/08 05:48:13.986, 0xC7, 98 %, 235.44 W, 1410 MHz
2024/03/08 05:48:14.991, 0xC7, 98 %, 310.23 W, 1410 MHz
2024/03/08 05:48:15.996, 0xC7, 6 %, 91.79 W, 1410 MHz
2024/03/08 05:48:17.001, 0xC7, 0 %, 86.23 W, 1410 MHz
2024/03/08 05:48:18.005, 0xC7, 97 %, 279.57 W, 1410 MHz
2024/03/08 05:48:19.011, 0xC7, 98 %, 315.49 W, 1410 MHz
2024/03/08 05:48:20.016, 0xC7, 97 %, 276.04 W, 1410 MHz
2024/03/08 05:48:21.021, 0xC7, 98 %, 285.39 W, 1410 MHz
2024/03/08 05:48:22.026, 0xC7, 89 %, 293.00 W, 1410 MHz
2024/03/08 05:48:23.032, 0xC7, 97 %, 273.10 W, 1410 MHz
2024/03/08 05:48:24.037, 0xC7, 98 %, 260.87 W, 1410 MHz
2024/03/08 05:48:25.041, 0xC7, 98 %, 238.65 W, 1410 MHz
2024/03/08 05:48:26.046, 0xC7, 98 %, 312.56 W, 1410 MHz
2024/03/08 05:48:27.052, 0xC7, 96 %, 268.16 W, 1410 MHz
2024/03/08 05:48:28.056, 0xC7, 98 %, 330.66 W, 1410 MHz
2024/03/08 05:48:29.062, 0xC7, 89 %, 296.20 W, 1410 MHz
2024/03/08 05:48:30.067, 0xC7, 96 %, 283.38 W, 1410 MHz
2024/03/08 05:48:31.072, 0xC7, 98 %, 280.11 W, 1410 MHz
2024/03/08 05:48:32.076, 0xC7, 0 %, 89.77 W, 1410 MHz
2024/03/08 05:48:33.081, 0xC7, 0 %, 88.30 W, 1410 MHz
2024/03/08 05:48:34.087, 0xC7, 97 %, 270.76 W, 1410 MHz
2024/03/08 05:48:35.092, 0xC7, 99 %, 288.32 W, 1410 MHz
2024/03/08 05:48:36.098, 0xC7, 96 %, 340.93 W, 1410 MHz
2024/03/08 05:48:37.105, 0xC7, 96 %, 286.26 W, 1410 MHz
2024/03/08 05:48:38.110, 0xC7, 98 %, 250.33 W, 1410 MHz
2024/03/08 05:48:39.116, 0xC7, 90 %, 301.74 W, 1410 MHz
2024/03/08 05:48:40.122, 0xC7, 96 %, 270.22 W, 1410 MHz
2024/03/08 05:48:41.128, 0xC7, 97 %, 244.52 W, 1410 MHz
2024/03/08 05:48:42.133, 0xC7, 99 %, 258.54 W, 1410 MHz
2024/03/08 05:48:43.138, 0xC7, 98 %, 329.52 W, 1410 MHz
2024/03/08 05:48:44.144, 0xC7, 97 %, 265.55 W, 1410 MHz
2024/03/08 05:48:45.149, 0xC7, 98 %, 317.51 W, 1410 MHz
2024/03/08 05:48:46.154, 0xC7, 90 %, 283.65 W, 1410 MHz
2024/03/08 05:48:47.161, 0xC7, 97 %, 273.70 W, 1410 MHz
2024/03/08 05:48:48.165, 0xC7, 28 %, 87.43 W, 1410 MHz
2024/03/08 05:48:49.170, 0xC7, 97 %, 243.90 W, 1410 MHz
2024/03/08 05:48:50.176, 0xC7, 97 %, 284.52 W, 1410 MHz
2024/03/08 05:48:51.182, 0xC7, 96 %, 284.24 W, 1410 MHz
2024/03/08 05:48:52.188, 0xC7, 98 %, 315.17 W, 1410 MHz
2024/03/08 05:48:53.194, 0xC7, 92 %, 315.77 W, 1410 MHz
2024/03/08 05:48:54.200, 0xC7, 97 %, 282.78 W, 1410 MHz
2024/03/08 05:48:55.206, 0xC7, 98 %, 262.34 W, 1410 MHz
2024/03/08 05:48:56.211, 0xC7, 95 %, 314.90 W, 1410 MHz
2024/03/08 05:48:57.216, 0xC7, 97 %, 247.40 W, 1410 MHz
2024/03/08 05:48:58.222, 0xC7, 97 %, 273.70 W, 1410 MHz
2024/03/08 05:48:59.226, 0xC7, 98 %, 306.15 W, 1410 MHz
2024/03/08 05:49:00.232, 0xC7, 93 %, 312.56 W, 1410 MHz
2024/03/08 05:49:01.238, 0xC7, 97 %, 275.44 W, 1410 MHz
2024/03/08 05:49:02.243, 0xC7, 98 %, 297.67 W, 1410 MHz
2024/03/08 05:49:03.248, 0xC7, 0 %, 89.44 W, 1410 MHz
2024/03/08 05:49:04.259, 0xC7, 0 %, 87.10 W, 1410 MHz
2024/03/08 05:49:05.264, 0xC7, 97 %, 235.68 W, 1410 MHz
2024/03/08 05:49:06.269, 0xC7, 98 %, 306.42 W, 1410 MHz
2024/03/08 05:49:07.274, 0xC7, 98 %, 335.66 W, 1410 MHz
2024/03/08 05:49:08.280, 0xC7, 97 %, 239.24 W, 1410 MHz
2024/03/08 05:49:09.286, 0xC7, 98 %, 290.39 W, 1410 MHz
2024/03/08 05:49:10.291, 0xC7, 89 %, 296.20 W, 1410 MHz
2024/03/08 05:49:11.321, 0xC7, 97 %, 254.74 W, 1410 MHz
2024/03/08 05:49:12.327, 0xC7, 97 %, 267.88 W, 1410 MHz
2024/03/08 05:49:13.331, 0xC7, 97 %, 274.57 W, 1410 MHz
2024/03/08 05:49:14.336, 0xC7, 98 %, 339.14 W, 1410 MHz
2024/03/08 05:49:15.342, 0xC7, 96 %, 275.44 W, 1410 MHz
2024/03/08 05:49:16.347, 0xC7, 97 %, 345.88 W, 1410 MHz
2024/03/08 05:49:17.351, 0xC7, 89 %, 323.65 W, 1410 MHz
2024/03/08 05:49:18.358, 0xC7, 97 %, 120.18 W, 1410 MHz
2024/03/08 05:49:19.362, 0xC7, 28 %, 89.44 W, 1410 MHz
