Timestamp, DeviceId, GPU Utilization (%), GPU Power (W), GPU Frequency (MHz), GPU Energy Consumed (J)
21:54:35.000,    0, 6.47, 303.12, 1600.00, 13232879.83
21:54:36.000,    0, 0.00, 296.72, 1600.00, 13233178.63
21:54:37.000,    0, 0.00, 296.59, 1600.00, 13233475.25
21:54:38.000,    0, 0.00, 296.86, 1600.00, 13233771.79
21:54:39.000,    0, 0.00, 296.53, 1600.00, 13234068.31
21:54:40.000,    0, 0.00, 296.26, 1600.00, 13234364.84
21:54:41.000,    0, 0.00, 296.77, 1600.00, 13234661.39
21:54:42.000,    0, 0.00, 296.24, 1600.00, 13234957.56
21:54:43.000,    0, 0.00, 296.68, 1600.00, 13235254.01
21:54:44.000,    0, 0.00, 296.28, 1600.00, 13235550.51
21:54:45.000,    0, 0.00, 299.03, 1600.00, 13235849.65
21:54:46.000,    0, 9.28, 308.54, 1600.00, 13236159.28
21:54:47.000,    0, 8.08, 308.04, 1600.00, 13236471.63
21:54:48.000,    0, 51.16, 391.52, 1600.00, 13236823.95
21:54:49.000,    0, 4.48, 303.78, 1600.00, 13237131.68
21:54:50.000,    0, 1.47, 305.84, 1600.00, 13237439.27
21:54:51.000,    0, 2.05, 307.19, 1600.00, 13237747.51
21:54:52.000,    0, 14.77, 317.32, 1550.00, 13238061.10
21:54:53.000,    0, 64.32, 462.01, 1600.00, 13238504.02
21:54:54.000,    0, 78.65, 476.89, 1400.00, 13238965.70
21:54:55.000,    0, 97.34, 499.68, 1300.00, 13239465.30
21:54:56.000,    0, 97.21, 503.54, 1350.00, 13239964.55
21:54:57.000,    0, 10.91, 300.67, 1600.00, 13240277.49
21:54:58.000,    0, 0.20, 297.65, 1600.00, 13240575.10
21:54:59.000,    0, 97.47, 495.61, 1400.00, 13241093.73
21:55:00.000,    0, 97.70, 501.04, 925.00, 13241592.81
21:55:01.000,    0, 97.43, 498.23, 950.00, 13242090.72
21:55:02.000,    0, 97.17, 498.83, 1250.00, 13242586.72
21:55:03.000,    0, 97.47, 495.81, 1400.00, 13243084.41
21:55:04.000,    0, 97.70, 503.46, 950.00, 13243584.54
21:55:05.000,    0, 97.40, 496.30, 1350.00, 13244081.08
21:55:06.000,    0, 97.19, 497.96, 1600.00, 13244578.76
21:55:07.000,    0, 97.32, 496.89, 1500.00, 13245076.59
21:55:08.000,    0, 97.67, 498.46, 1350.00, 13245574.23
21:55:09.000,    0, 97.44, 496.04, 1250.00, 13246071.14
21:55:10.000,    0, 97.20, 496.87, 1600.00, 13246570.93
21:55:11.000,    0, 97.47, 494.60, 1400.00, 13247067.27
21:55:12.000,    0, 0.00, 297.95, 1600.00, 13247438.25
21:55:13.000,    0, 87.41, 507.30, 1300.00, 13247840.53
21:55:14.000,    0, 97.32, 500.60, 1400.00, 13248343.72
21:55:15.000,    0, 97.22, 497.41, 1600.00, 13248842.61
21:55:16.000,    0, 97.59, 500.43, 1400.00, 13249339.19
21:55:17.000,    0, 97.54, 500.78, 700.00, 13249837.88
21:55:18.000,    0, 97.29, 498.21, 1050.00, 13250335.83
21:55:19.000,    0, 97.24, 495.39, 1500.00, 13250831.72
21:55:20.000,    0, 97.59, 498.82, 1600.00, 13251330.06
21:55:21.000,    0, 97.52, 498.65, 600.00, 13251829.63
21:55:22.000,    0, 97.38, 498.36, 1000.00, 13252327.47
21:55:23.000,    0, 97.28, 495.53, 1500.00, 13252823.69
21:55:24.000,    0, 97.66, 499.88, 1350.00, 13253320.91
21:55:25.000,    0, 97.42, 503.12, 550.00, 13253822.00
21:55:26.000,    0, 94.78, 469.50, 1600.00, 13254304.60
21:55:27.000,    0, 0.00, 297.11, 1600.00, 13254602.39
21:55:28.000,    0, 97.25, 519.46, 1300.00, 13255097.00
21:55:29.000,    0, 97.66, 495.65, 1050.00, 13255594.40
21:55:30.000,    0, 97.37, 497.05, 1600.00, 13256091.60
21:55:31.000,    0, 97.22, 496.52, 1350.00, 13256589.82
21:55:32.000,    0, 97.64, 497.21, 1300.00, 13257087.74
21:55:33.000,    0, 97.69, 495.60, 950.00, 13257586.22
21:55:34.000,    0, 97.38, 495.86, 1450.00, 13258083.59
21:55:35.000,    0, 97.33, 496.21, 1400.00, 13258581.19
21:55:36.000,    0, 97.67, 498.06, 1400.00, 13259079.62
21:55:37.000,    0, 97.83, 496.90, 800.00, 13259578.22
21:55:38.000,    0, 97.47, 494.80, 1600.00, 13260074.93
21:55:39.000,    0, 97.29, 496.16, 1400.00, 13260572.95
21:55:40.000,    0, 97.64, 498.23, 1300.00, 13261071.26
21:55:41.000,    0, 8.29, 301.10, 1600.00, 13261466.29
21:55:42.000,    0, 66.88, 451.63, 1400.00, 13261840.78
21:55:43.000,    0, 97.28, 499.75, 1250.00, 13262350.70
21:55:44.000,    0, 97.43, 496.87, 1425.00, 13262849.73
21:55:45.000,    0, 97.64, 501.24, 1350.00, 13263347.17
21:55:46.000,    0, 97.44, 495.75, 1300.00, 13263843.27
21:55:47.000,    0, 97.23, 496.27, 1600.00, 13264342.35
21:55:48.000,    0, 97.35, 496.55, 1450.00, 13264839.79
21:55:49.000,    0, 97.68, 496.89, 1300.00, 13265337.27
21:55:50.000,    0, 97.48, 496.65, 1300.00, 13265834.49
21:55:51.000,    0, 97.21, 496.80, 1300.00, 13266334.05
21:55:52.000,    0, 97.56, 499.29, 1275.00, 13266832.60
21:55:53.000,    0, 97.71, 497.30, 1450.00, 13267328.85
21:55:54.000,    0, 97.49, 498.07, 1600.00, 13267826.47
21:55:55.000,    0, 97.22, 498.00, 1500.00, 13268326.00
21:55:56.000,    0, 0.00, 297.31, 1600.00, 13268631.68
